Variable path / name,Attribute,Type,Value
/lat,standard_name,string,"latitude"
,units,string,"degrees_north"
,axis,string,"Y"
/lon,standard_name,string,"longitude"
,units,string,"degrees_east"
,axis,string,"X"
/depth,standard_name,string,depth
,units,string,"meters"
,axis,string,"Z"
,positive,string,"down"
,long_name,string,"depth_below_sea_level"
/time,standard_name,string,"time"
,units,string,"""seconds since <reftime>"" where <reftime> is an ISO8601 time string of the form YYYY-MM-DDThh:mm:ssZ"
,axis,string,"T"
,calendar,string,"standard"
